category,variant,seed,train_regime,eval_regime,target_scope,metric_semantics,positive_count,train_negative_source_count,negative_count,auc,ks,balanced_accuracy,overlap,threshold,best_w,optimization_method,category_prior_used,prior_source,prior_motifs,model_path
solvents,baseline_hard_negative,11,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.68,0.36,0.68,0.0,0.1111,0.0,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\solvents\baseline_hard_negative\seed_11\model.json
solvents,all_other_random,11,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.3,0.4,0.5,0.0,0.5,0.65,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\solvents\all_other_random\seed_11\model.json
solvents,related_hard,11,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.305,0.4,0.5,0.9724,0.5,0.05,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\solvents\related_hard\seed_11\model.json
endocrine_disruptors,baseline_hard_negative,11,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.26,0.52,0.52,0.0,0.8938,0.85,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\endocrine_disruptors\baseline_hard_negative\seed_11\model.json
endocrine_disruptors,category_prior_hard_negative,11,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.22,0.56,0.5,0.0,0.5,1.0,grid_w_objective_fallback,True,data/models/pubchem_endocrine_disruptors.json broad Choi pattern evidence,aromatic_oh;benzophenone;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\endocrine_disruptors\category_prior_hard_negative\seed_11\model.json
endocrine_disruptors,all_other_random,11,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.3857,0.2767,0.505,0.8142,0.6218,0.4874,lee_tpe_bayesian,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\endocrine_disruptors\all_other_random\seed_11\model.json
endocrine_disruptors,all_other_random_category_prior,11,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.3857,0.2767,0.505,0.8108,0.618,0.4874,lee_tpe_bayesian,True,data/models/pubchem_endocrine_disruptors.json broad Choi pattern evidence,aromatic_oh;benzophenone;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\endocrine_disruptors\all_other_random_category_prior\seed_11\model.json
endocrine_disruptors,related_hard,11,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.5,0.0,0.5,0.0,0.5,0.0,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\endocrine_disruptors\related_hard\seed_11\model.json
endocrine_disruptors,related_hard_category_prior,11,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.4533,0.24,0.5733,0.7178,0.5357,0.5,grid_w_objective_fallback,True,data/models/pubchem_endocrine_disruptors.json broad Choi pattern evidence,aromatic_oh;benzophenone;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\endocrine_disruptors\related_hard_category_prior\seed_11\model.json
surfactants,baseline_hard_negative,11,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.56,0.12,0.56,0.0,1.0,0.0,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\surfactants\baseline_hard_negative\seed_11\model.json
surfactants,category_prior_hard_negative,11,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.445,0.2667,0.54,0.518,0.944,0.9,grid_w_objective_fallback,True,data/models/choi_surfactant.json broad Choi pattern evidence,long_chain;glycol;sulfonate;quaternary_n,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\surfactants\category_prior_hard_negative\seed_11\model.json
surfactants,all_other_random,11,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.524,0.23,0.615,0.7448,0.8938,0.85,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\surfactants\all_other_random\seed_11\model.json
surfactants,all_other_random_category_prior,11,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.576,0.28,0.64,0.7106,0.7894,0.75,grid_w_objective_fallback,True,data/models/choi_surfactant.json broad Choi pattern evidence,long_chain;glycol;sulfonate;quaternary_n,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\surfactants\all_other_random_category_prior\seed_11\model.json
surfactants,related_hard,11,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.524,0.23,0.615,0.7448,0.8938,0.85,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\surfactants\related_hard\seed_11\model.json
surfactants,related_hard_category_prior,11,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.576,0.28,0.64,0.7112,0.7904,0.75,grid_w_objective_fallback,True,data/models/choi_surfactant.json broad Choi pattern evidence,long_chain;glycol;sulfonate;quaternary_n,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\surfactants\related_hard_category_prior\seed_11\model.json
surfactants,surfactants_native_pesticide_negatives,11,choi_native_pesticides_negative_source,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.5863,0.31,0.655,0.7018,0.7839,0.55,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\surfactants\surfactants_native_pesticide_negatives\seed_11\model.json
surfactants,surfactants_native_pesticide_negatives_category_prior,11,choi_native_pesticides_negative_source,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.5807,0.31,0.655,0.7034,0.7799,0.55,grid_w_objective_fallback,True,data/models/choi_surfactant.json broad Choi pattern evidence,long_chain;glycol;sulfonate;quaternary_n,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\surfactants\surfactants_native_pesticide_negatives_category_prior\seed_11\model.json
