node_id,hnid,name,depth,compound_count,child_count,is_leaf,parent_path,path
node_256,3647697,Chemical-Gene Co-Occurrences in Literature,2,1377044,0,True,PubChem Compound TOC > Literature,PubChem Compound TOC > Literature > Chemical-Gene Co-Occurrences in Literature
node_260,17147240,Chemical-Organism Co-Occurrences in Literature,2,1826472,0,True,PubChem Compound TOC > Literature,PubChem Compound TOC > Literature > Chemical-Organism Co-Occurrences in Literature
node_258,5599342,Consolidated References,2,4551278,0,True,PubChem Compound TOC > Literature,PubChem Compound TOC > Literature > Consolidated References
node_259,12902080,Nature Journal References,2,57191,0,True,PubChem Compound TOC > Literature,PubChem Compound TOC > Literature > Nature Journal References
node_252,3647693,NLM Curated PubMed Citations,2,77559,0,True,PubChem Compound TOC > Literature,PubChem Compound TOC > Literature > NLM Curated PubMed Citations
node_254,3647695,Springer Nature References,2,740475,0,True,PubChem Compound TOC > Literature,PubChem Compound TOC > Literature > Springer Nature References
node_253,3647694,Synthesis References,2,2870,0,True,PubChem Compound TOC > Literature,PubChem Compound TOC > Literature > Synthesis References
node_251,3115249,Thieme References,2,899537,0,True,PubChem Compound TOC > Literature,PubChem Compound TOC > Literature > Thieme References
node_257,3857763,Wiley References,2,112196,0,True,PubChem Compound TOC > Literature,PubChem Compound TOC > Literature > Wiley References
node_12,1856948,Names and Identifiers,1,8138928,3,False,PubChem Compound TOC,PubChem Compound TOC > Names and Identifiers
node_13,1857348,Other Identifiers,2,8117145,37,False,PubChem Compound TOC > Names and Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers
node_43,17764024,AIDS Number,3,279247,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > AIDS Number
node_14,1856949,CAS,3,1429529,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > CAS
node_39,12940422,ChEBI ID,3,179537,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > ChEBI ID
node_35,5603665,ChEMBL ID,3,2898303,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > ChEMBL ID
node_25,3891197,DEA Code Number,3,579,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > DEA Code Number
node_24,3834819,Deprecated CAS,3,20212,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > Deprecated CAS
node_38,12903266,DrugBank ID,3,15348,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > DrugBank ID
node_46,18182620,DrugCentral,3,4626,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > DrugCentral
node_23,3670674,DSSTox Substance ID,3,1146906,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > DSSTox Substance ID
node_50,18951460,EUbOPEN ID,3,2692,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > EUbOPEN ID
node_16,1857084,European Community (EC) Number,3,347748,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > European Community (EC) Number
node_17,1857320,FEMA Number,3,2458,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > FEMA Number
node_42,17241921,GlyConnect Structure,3,1911,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > GlyConnect Structure
node_27,3982909,GlyTouCan Accession,3,53733,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > GlyTouCan Accession
node_44,18053244,GNOme ID,3,45439,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > GNOme ID
node_40,12946384,HMDB ID,3,203800,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > HMDB ID
node_45,18053272,HTS Number,3,699,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > HTS Number
node_15,1856959,ICSC Number,3,1586,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > ICSC Number
node_48,18251299,International Nonproprietary Names (INN),3,9722,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > International Nonproprietary Names (INN)
node_28,4088593,JECFA Number,3,2234,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > JECFA Number
node_36,11378257,KEGG ID,3,25145,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > KEGG ID
node_37,12866214,Lipid Maps ID (LM_ID),3,48632,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > Lipid Maps ID (LM_ID)
node_47,18229616,MetaboLights,3,8817,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > MetaboLights
node_32,5592125,Metabolomics Workbench ID,3,176701,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > Metabolomics Workbench ID
node_29,4643908,NCI Thesaurus Code,3,19254,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > NCI Thesaurus Code
node_33,5592749,Nikkaji Number,3,3534448,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > Nikkaji Number
node_18,3647533,NSC Number,3,306329,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > NSC Number
node_41,13589648,PharmGKB ID,3,3825,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > PharmGKB ID
node_34,5593204,Pharos Ligand ID,3,366629,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > Pharos Ligand ID
node_26,3966265,Related CAS,3,20094,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > Related CAS
node_19,3647534,RTECS Number,3,561,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > RTECS Number
node_30,4877714,RXCUI,3,3940,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > RXCUI
node_20,3647535,UN Number,3,2957,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > UN Number
node_21,3647536,UNII,3,124203,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > UNII
node_49,18251300,United States Adopted Name (USAN),3,5675,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > United States Adopted Name (USAN)
node_31,5539559,Wikidata,3,1324374,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > Wikidata
node_22,3647537,Wikipedia,3,21283,0,True,PubChem Compound TOC > Names and Identifiers > Other Identifiers,PubChem Compound TOC > Names and Identifiers > Other Identifiers > Wikipedia
node_52,3647538,Synonyms,2,89462,1,False,PubChem Compound TOC > Names and Identifiers,PubChem Compound TOC > Names and Identifiers > Synonyms
node_53,1857271,MeSH Entry Terms,3,89462,0,True,PubChem Compound TOC > Names and Identifiers > Synonyms,PubChem Compound TOC > Names and Identifiers > Synonyms > MeSH Entry Terms
node_51,3647532,Record Description,2,439846,0,True,PubChem Compound TOC > Names and Identifiers,PubChem Compound TOC > Names and Identifiers > Record Description
node_718,3647699,Patents,1,46655209,8,False,PubChem Compound TOC,PubChem Compound TOC > Patents
node_722,11552815,Chemical Co-Occurrences in Patents,2,10565045,0,True,PubChem Compound TOC > Patents,PubChem Compound TOC > Patents > Chemical Co-Occurrences in Patents
node_724,11552817,Chemical-Disease Co-Occurrences in Patents,2,5367797,0,True,PubChem Compound TOC > Patents,PubChem Compound TOC > Patents > Chemical-Disease Co-Occurrences in Patents
node_723,11552816,Chemical-Gene Co-Occurrences in Patents,2,4228891,0,True,PubChem Compound TOC > Patents,PubChem Compound TOC > Patents > Chemical-Gene Co-Occurrences in Patents
node_726,17147239,Chemical-Organism Co-Occurrences in Patents,2,6049816,0,True,PubChem Compound TOC > Patents,PubChem Compound TOC > Patents > Chemical-Organism Co-Occurrences in Patents
node_719,1857007,Depositor-Supplied Patent Identifiers,2,39018951,0,True,PubChem Compound TOC > Patents,PubChem Compound TOC > Patents > Depositor-Supplied Patent Identifiers
node_725,12950180,FDA Green Book Patents,2,99,0,True,PubChem Compound TOC > Patents,PubChem Compound TOC > Patents > FDA Green Book Patents
node_720,1857340,FDA Orange Book Patents,2,956,0,True,PubChem Compound TOC > Patents,PubChem Compound TOC > Patents > FDA Orange Book Patents
node_721,3956028,WIPO PATENTSCOPE,2,22302615,0,True,PubChem Compound TOC > Patents,PubChem Compound TOC > Patents > WIPO PATENTSCOPE
node_495,3647584,Pharmacology and Biochemistry,1,110999,13,False,PubChem Compound TOC,PubChem Compound TOC > Pharmacology and Biochemistry
node_500,1857207,Human Metabolite Information,2,64827,3,False,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > Human Metabolite Information
node_503,3647591,Cellular Locations,3,38826,0,True,PubChem Compound TOC > Pharmacology and Biochemistry > Human Metabolite Information,PubChem Compound TOC > Pharmacology and Biochemistry > Human Metabolite Information > Cellular Locations
node_501,1857186,Metabolite Pathways,3,43638,0,True,PubChem Compound TOC > Pharmacology and Biochemistry > Human Metabolite Information,PubChem Compound TOC > Pharmacology and Biochemistry > Human Metabolite Information > Metabolite Pathways
node_502,3647590,Tissue Locations,3,6677,0,True,PubChem Compound TOC > Pharmacology and Biochemistry > Human Metabolite Information,PubChem Compound TOC > Pharmacology and Biochemistry > Human Metabolite Information > Tissue Locations
node_498,1857171,"Absorption, Distribution and Excretion",2,4732,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,"PubChem Compound TOC > Pharmacology and Biochemistry > Absorption, Distribution and Excretion"
node_504,1857230,ATC Code,2,3639,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > ATC Code
node_510,3775413,Biochemical Reactions,2,70122,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > Biochemical Reactions
node_496,1857018,Biological Half-Life,2,2909,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > Biological Half-Life
node_507,3647587,Bionecessity,2,130,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > Bionecessity
node_505,1857331,FDA Pharmacological Classification,2,2139,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > FDA Pharmacological Classification
node_497,1857026,Mechanism of Action,2,4633,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > Mechanism of Action
node_499,1857194,MeSH Pharmacological Classification,2,9919,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > MeSH Pharmacological Classification
node_508,3647588,Metabolism/Metabolites,2,9138,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > Metabolism/Metabolites
node_506,3647585,Pharmacodynamics,2,2616,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > Pharmacodynamics
node_509,3647676,Protein Binding,2,1781,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > Protein Binding
node_511,3956434,Transformations,2,9483,0,True,PubChem Compound TOC > Pharmacology and Biochemistry,PubChem Compound TOC > Pharmacology and Biochemistry > Transformations
node_482,3647565,Related Records,1,15835582,8,False,PubChem Compound TOC,PubChem Compound TOC > Related Records
node_488,3662370,Related Element,2,1396,3,False,PubChem Compound TOC > Related Records,PubChem Compound TOC > Related Records > Related Element
node_491,2999715,Atomic Number,3,1396,0,True,PubChem Compound TOC > Related Records > Related Element,PubChem Compound TOC > Related Records > Related Element > Atomic Number
node_490,2965189,Element Name,3,1396,0,True,PubChem Compound TOC > Related Records > Related Element,PubChem Compound TOC > Related Records > Related Element > Element Name
node_489,2965188,Element Symbol,3,1396,0,True,PubChem Compound TOC > Related Records > Related Element,PubChem Compound TOC > Related Records > Related Element > Element Symbol
node_485,3647568,Substances,2,635012,1,False,PubChem Compound TOC > Related Records,PubChem Compound TOC > Related Records > Substances
node_486,12866215,PubChem Reference Collection SID,3,635012,0,True,PubChem Compound TOC > Related Records > Substances,PubChem Compound TOC > Related Records > Substances > PubChem Reference Collection SID
node_487,3647569,Associated Chemicals,2,1221,0,True,PubChem Compound TOC > Related Records,PubChem Compound TOC > Related Records > Associated Chemicals
node_493,3948061,Component Compounds,2,11736243,0,True,PubChem Compound TOC > Related Records,PubChem Compound TOC > Related Records > Component Compounds
node_483,1857130,Entrez Crosslinks,2,378543,0,True,PubChem Compound TOC > Related Records,PubChem Compound TOC > Related Records > Entrez Crosslinks
node_492,3678739,NCBI LinkOut,2,2718826,0,True,PubChem Compound TOC > Related Records,PubChem Compound TOC > Related Records > NCBI LinkOut
node_494,5592891,Other Relationships,2,86260,0,True,PubChem Compound TOC > Related Records,PubChem Compound TOC > Related Records > Other Relationships
node_484,3647566,Parent Compound,2,8284063,0,True,PubChem Compound TOC > Related Records,PubChem Compound TOC > Related Records > Parent Compound
node_529,3647601,Safety and Hazards,1,272535,11,False,PubChem Compound TOC,PubChem Compound TOC > Safety and Hazards
node_530,1856946,Accidental Release Measures,2,5885,6,False,PubChem Compound TOC > Safety and Hazards,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures
node_534,1857270,Cleanup Methods,3,2461,0,True,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures > Cleanup Methods
node_533,1857181,Disposal Methods,3,4672,0,True,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures > Disposal Methods
node_532,1857041,Isolation and Evacuation,3,2853,0,True,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures > Isolation and Evacuation
node_531,1857004,Preventive Measures,3,3231,0,True,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures > Preventive Measures
node_536,3647612,Spillage Disposal,3,1584,0,True,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures > Spillage Disposal
node_535,3647611,Toxic-by-Inhalation (TIH) Gas,3,74,0,True,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures,PubChem Compound TOC > Safety and Hazards > Accidental Release Measures > Toxic-by-Inhalation (TIH) Gas
node_537,1856956,Exposure Control and Personal Protection,2,8043,23,False,PubChem Compound TOC > Safety and Hazards,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection
node_557,4308217,Acute Exposure Guideline Levels (AEGLs),3,323,2,False,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Acute Exposure Guideline Levels (AEGLs)
node_558,4308219,AEGLs Notes,4,301,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Acute Exposure Guideline Levels (AEGLs),PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Acute Exposure Guideline Levels (AEGLs) > AEGLs Notes
node_559,4308221,AEGLs Table,4,258,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Acute Exposure Guideline Levels (AEGLs),PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Acute Exposure Guideline Levels (AEGLs) > AEGLs Table
node_540,1857043,Allowable Tolerances,3,722,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Allowable Tolerances
node_541,1857078,Effects of Long Term Exposure,3,970,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Effects of Long Term Exposure
node_538,1856964,Effects of Short Term Exposure,3,1442,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Effects of Short Term Exposure
node_552,3647626,Emergency Response Planning Guidelines,3,1093,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Emergency Response Planning Guidelines
node_545,1857170,Exposure Prevention,3,1196,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Exposure Prevention
node_548,1857322,Eye Prevention,3,1576,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Eye Prevention
node_547,1857317,Fire Prevention,3,1266,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Fire Prevention
node_546,1857285,Immediately Dangerous to Life or Health (IDLH),3,1379,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Immediately Dangerous to Life or Health (IDLH)
node_542,1857116,Ingestion Prevention,3,1509,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Ingestion Prevention
node_543,1857123,Inhalation Prevention,3,1565,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Inhalation Prevention
node_544,1857126,Inhalation Risk,3,1553,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Inhalation Risk
node_560,5592121,Minimum Risk Level,3,1292,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Minimum Risk Level
node_561,13313651,Occupational Exposure Limits (OEL),3,681,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Occupational Exposure Limits (OEL)
node_539,1857038,Other Standards Regulations and Guidelines,3,652,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Other Standards Regulations and Guidelines
node_550,3647618,Permissible Exposure Limit (PEL),3,1514,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Permissible Exposure Limit (PEL)
node_554,3647631,Personal Protective Equipment (PPE),3,4968,0,True,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection,PubChem Compound TOC > Safety and Hazards > Exposure Control and Personal Protection > Personal Protective Equipment (PPE)
